NUMBER OF OBSERVATIONS								
1621							
DAY	MONTH	YEAR	RAIN	PE	SOIL_VWC	GWL	ABS	
5	8	2015	0.197118282	2.883870968	-9999	-9999	0	
6	8	2015	0.0003544	2.883870968	-9999	-9999	0	
7	8	2015	0.000362522	2.883870968	-9999	-9999	0	
8	8	2015	0	2.883870968	-9999	-9999	0	
9	8	2015	0.000322785	2.883870968	-9999	-9999	0	
10	8	2015	0.000407101	2.883870968	-9999	-9999	0	
11	8	2015	0.959705591	2.883870968	-9999	-9999	0	
12	8	2015	0.003155441	2.883870968	-9999	-9999	0	
13	8	2015	6.338530064	2.883870968	-9999	-9999	0	
14	8	2015	1.016304255	2.883870968	-9999	-9999	0	
15	8	2015	0.001473963	2.883870968	-9999	-9999	0	
16	8	2015	0.000996773	2.883870968	-9999	-9999	0	
17	8	2015	3.043005228	2.883870968	-9999	-9999	0	
18	8	2015	9.57016468	2.883870968	-9999	-9999	0	
19	8	2015	1.580694795	2.883870968	-9999	-9999	0	
20	8	2015	0.045151033	2.883870968	-9999	-9999	0	
21	8	2015	0.002060492	2.883870968	-9999	-9999	0	
22	8	2015	0.000174063	2.883870968	-9999	-9999	0	
23	8	2015	2.922711849	2.883870968	-9999	-9999	0	
24	8	2015	7.577261448	2.883870968	-9999	-9999	0	
25	8	2015	2.256599665	2.883870968	-9999	-9999	0	
26	8	2015	6.901917934	2.883870968	-9999	-9999	0	
27	8	2015	1.366336346	2.883870968	-9999	16.64	0	
28	8	2015	0.006358502	2.883870968	-9999	-9999	0	
29	8	2015	2.570140839	2.883870968	-9999	-9999	0	
30	8	2015	3.702077389	2.883870968	-9999	-9999	0	
31	8	2015	4.765842915	2.883870968	-9999	-9999	0	
1	9	2015	0.3827461	2.891	-9999	-9999	0	
2	9	2015	3.393120289	2.891	-9999	-9999	0	
3	9	2015	0.006195748	2.891	-9999	-9999	0	
4	9	2015	0.093706496	2.891	-9999	-9999	0	
5	9	2015	0.001327022	2.891	-9999	-9999	0	
6	9	2015	3.38E-05	2.891	-9999	-9999	0	
7	9	2015	0.171152949	2.891	-9999	-9999	0	
8	9	2015	0.180074334	2.891	-9999	-9999	0	
